"","Anno","Group","Occupancy","Lower","Upper"
"152",2018,3,84.9935713717982,80.8604543520642,89.2059825982877
"162",2019,3,87.5718331019026,83.5254129516986,91.9410716873861
"172",2020,3,84.6041601406345,80.579932394208,88.9955911298955
"182",2021,3,83.8418728892665,79.527975052247,88.0137642773986
"192",2022,3,81.4507972278192,77.3539298788611,85.6994581250846
"202",2023,3,81.9506250185061,77.7747128156455,86.2605020407971
"212",2024,3,79.0512591539768,74.7591017686908,83.5254129516986
"222",2025,3,81.7478543966356,77.283799389397,86.2605020407971
"25",2005,4,100,86.6037286760623,116.427529279739
"33",2006,4,95.0338911170004,85.1698921085779,106.609333383889
"43",2007,4,91.3727009625508,83.5926718843449,100.511943380662
"53",2008,4,89.8219270572294,83.1625209140996,97.2141192754475
"63",2009,4,88.7481427833577,82.8757536006027,95.2067480809692
"73",2010,4,87.5736394563785,82.015451660112,93.7729115134847
"83",2011,4,84.8521220621887,79.2911621818915,90.5503638280633
"93",2012,4,83.8964540584429,78.4308602414008,89.6147854677797
"103",2013,4,83.9541580145257,78.7176275548977,89.3280181542828
"113",2014,4,83.5004921245735,78.2874765846524,88.754483527289
"123",2015,4,83.1707734401214,78.2874765846524,88.3243325570437
"133",2016,4,81.3250752843858,76.4234890469226,86.3169613625654
"143",2017,4,81.1768484463428,76.1367217334257,86.3922377823583
"153",2018,4,82.3895555520863,77.5705583009101,87.3959233795974
"163",2019,4,80.2008518263733,75.276419792935,85.4566594220748
"173",2020,4,79.3099613724428,74.4161178524443,84.4529738248356
"183",2021,4,78.7958513054128,73.9859668821989,83.8794391978418
"193",2022,4,78.3953010945271,73.5558159119536,83.4492882275965
"203",2023,4,78.5785454078517,73.8425832254505,83.5926718843449
"213",2024,4,79.8444000556967,74.8462688226896,84.9584012148739
"223",2025,4,79.4728770695439,74.2727341956958,84.883124795081
"26",2005,5,100,87.2803147671825,113.158162478856
"34",2006,5,98.2992078077941,88.6584250003486,107.798844905432
"44",2007,5,96.4945639506098,88.7311585959879,104.583254361378
"54",2008,5,94.8468885503535,87.8928082041452,101.980157254287
"64",2009,5,93.1220389770405,86.6678213302198,99.9895535841582
"74",2010,5,93.158516363953,86.9740680487012,99.5301835064362
"84",2011,5,92.0169306796943,85.9022045340165,98.3051966325108
"94",2012,5,93.0102589247947,86.9740680487012,99.0708134287142
"104",2013,5,92.5929807571577,86.6678213302198,98.4583199917515
"114",2014,5,92.2689377015914,86.3615746117385,98.1520732732702
"124",2015,5,93.1408561365211,87.7396848449045,98.7645667102328
"134",2016,5,88.0693424236435,82.380367271481,93.7114958552907
"144",2017,5,89.5665486028855,84.2178475823691,95.0896060884567
"154",2018,5,88.4357155811867,83.1459840676844,93.7114958552907
"164",2019,5,87.275244682621,81.920997193759,92.7927556998467
"174",2020,5,86.781404835363,81.6147504752777,92.3333856221247
"184",2021,5,86.3779417974705,81.1553803975557,91.8740155444026
"194",2022,5,86.2191358602316,81.1553803975557,91.720892185162
"204",2023,5,83.8905038677255,78.7054066497049,89.2709184373112
"214",2024,5,84.6236925391828,79.1647767274269,90.342781951996
"224",2025,5,80.4370617056506,74.5710759502068,86.4419643753398
