"","X.2","X.1","X","N","species","family","Temperature.Index","HV","IW","LATIN_TAXON","hc_ward","Temp_Group","HV_Group","IW_Group","X.x","range_min.x","range_max.x","rhat","tau.x","Ptau.x","sens.x","Psen.x","m.x","occupancy_2005.x","occupancy_2025.x","trend.x","X.y","range_min.y","range_max.y","tau.y","Ptau.y","sens.y","Psen.y","m.y","occupancy_2005.y","occupancy_2025.y","trend.y"
"20",20,20,20,20,"Erythromma lindenii","Co",12.123,2.5,2,"Erythromma lindenii",3,3,2,2,20,0.27,0.57,1.02,-0.181,0.264,-0.001,0.264,-0.006,0.45,0.29,"stable",20,0.26,0.66,-0.057,0.74,0,0.74,-0.008,0.5,0.28,"stable"
"21",21,21,21,21,"Erythromma viridulum","Co",10.644,2.9,3,"Erythromma viridulum",2,2,3,3,21,0.18,0.29,1.01,0.905,0,0.004,0,0.005,0.19,0.29,"increase",21,0.16,0.27,0.571,0,0.002,0,0.003,0.18,0.26,"increase"
"22",22,22,22,22,"Gomphus vulgatissimus","Go",8.606,1.3,4,"Gomphus vulgatissimus",4,1,1,4,22,0.17,0.34,1.02,0.667,0,0.004,0,0.005,0.23,0.33,"increase",22,0.13,0.34,0.562,0,0.003,0,0.006,0.2,0.32,"increase"
"23",23,23,23,23,"Ischnura elegans","Co",9.815,2.7,1,"Ischnura elegans",2,2,2,1,23,0.76,0.9,1.01,-0.6,0,-0.002,0,0,0.88,0.86,"decrease",23,0.8,0.89,-0.267,0.097,-0.001,0.097,0.001,0.84,0.86,"stable"
"24",24,24,24,24,"Ischnura pumilio","Co",10.454,2.7,2,"Ischnura pumilio",2,2,2,2,24,0.46,0.63,1.01,-0.524,0.001,-0.003,0.001,-0.004,0.54,0.53,"decrease",24,0.39,0.7,-0.848,0,-0.012,0,-0.012,0.62,0.43,"decrease"
"25",25,25,25,25,"Lestes dryas","Le",9.067,4.8,4,"Lestes dryas",1,1,4,4,25,0.03,0.13,1.03,-0.971,0,-0.006,0,-0.005,0.12,0.03,"decrease",25,0.02,0.07,-0.886,0,-0.002,0,-0.002,0.06,0.02,"decrease"
"26",26,26,26,26,"Lestes sponsa","Le",7.572,3.9,2,"Lestes sponsa",1,1,4,2,26,0.15,0.81,1,-0.962,0,-0.01,0,-0.016,0.38,0.15,"decrease",26,0.13,0.94,-0.971,0,-0.012,0,-0.019,0.41,0.13,"decrease"
"27",27,27,27,27,"Lestes virens","Le",10.193,4.6,3,"Lestes virens",1,2,4,3,27,0.17,0.27,1.04,-0.838,0,-0.003,0,-0.004,0.25,0.17,"decrease",27,0.13,0.63,-0.99,0,-0.01,0,-0.015,0.39,0.13,"decrease"
"28",28,28,28,28,"Libellula depressa","Li",9.67,3.3,2,"Libellula depressa",2,2,3,2,28,0.46,0.55,1,-0.714,0,-0.003,0,-0.003,0.53,0.49,"decrease",28,0.45,0.53,-0.543,0.001,-0.002,0.001,-0.002,0.5,0.49,"decrease"
"29",29,29,29,29,"Libellula fulva","Li",10.326,2.2,3,"Libellula fulva",3,2,2,3,29,0.39,0.5,1.01,-0.829,0,-0.004,0,-0.004,0.49,0.39,"decrease",29,0.34,0.51,-0.933,0,-0.008,0,-0.007,0.5,0.34,"decrease"
"30",30,30,30,30,"Libellula quadrimaculata","Li",7.881,3.6,3,"Libellula quadrimaculata",1,1,3,3,30,0.16,0.34,1.04,-0.8,0,-0.008,0,-0.008,0.32,0.18,"decrease",30,0.17,0.32,-0.619,0,-0.005,0,-0.006,0.3,0.2,"decrease"
"31",31,31,31,31,"Onychogomphus forcipatus","Go",10.318,1.1,5,"Onychogomphus forcipatus",4,2,1,5,31,0.56,0.68,1.01,0.667,0,0.006,0,0.004,0.62,0.67,"increase",31,0.57,0.66,0.581,0,0.004,0,0.003,0.63,0.64,"increase"
"32",32,32,32,32,"Onychogomphus uncatus","Go",12.778,1.1,5,"Onychogomphus uncatus",4,3,1,5,32,0.13,0.18,1.01,0.886,0,0.002,0,0.002,0.14,0.18,"increase",32,0.14,0.16,0.762,0,0.001,0,0.001,0.14,0.16,"increase"
"33",33,33,33,33,"Ophiogomphus cecilia","Go",7.506,1,5,"Ophiogomphus cecilia",4,1,1,5,33,0.14,0.24,1.04,-0.838,0,-0.005,0,-0.005,0.22,0.15,"decrease",33,0.08,0.27,-0.914,0,-0.011,0,-0.011,0.26,0.09,"decrease"
"34",34,34,34,34,"Orthetrum albistylum","Li",9.947,3,2,"Orthetrum albistylum",2,2,3,2,34,0.75,0.82,1.03,-0.571,0,-0.002,0,-0.002,0.81,0.79,"decrease",34,0.72,0.85,-0.829,0,-0.005,0,-0.005,0.83,0.75,"decrease"
"35",35,35,35,35,"Orthetrum brunneum","Li",11.719,1.8,3,"Orthetrum brunneum",3,3,2,3,35,0.48,0.59,1,0.657,0,0.005,0,0.004,0.5,0.55,"increase",35,0.47,0.57,0.6,0,0.004,0,0.003,0.5,0.52,"increase"
"36",36,36,36,36,"Orthetrum cancellatum","Li",10.406,2.7,2,"Orthetrum cancellatum",2,2,2,2,36,0.69,0.77,1.01,0.362,0.024,0.002,0.024,0.001,0.74,0.72,"stable",36,0.62,0.75,0.705,0,0.007,0,0.007,0.63,0.71,"increase"
"37",37,37,37,37,"Orthetrum coerulescens","Li",11.266,2.2,2,"Orthetrum coerulescens",3,3,2,2,37,0.68,0.79,1.01,-0.886,0,-0.003,0,-0.003,0.79,0.69,"decrease",37,0.65,0.83,-0.971,0,-0.006,0,-0.006,0.83,0.65,"decrease"
"38",38,38,38,38,"Oxygastra curtisii","Sy",12.218,2,4,"Oxygastra curtisii",4,3,2,4,38,0.06,0.18,1.01,1,0,0.006,0,0.006,0.07,0.18,"increase",38,0.06,0.17,1,0,0.006,0,0.006,0.06,0.17,"increase"
"39",39,39,39,39,"Platycnemis pennipes","Pl",9.427,1.8,2,"Platycnemis pennipes",2,2,2,2,39,0.78,0.91,1.07,-0.638,0,-0.002,0,-0.004,0.87,0.78,"decrease",39,0.78,0.95,-0.2,0.216,-0.001,0.216,-0.003,0.88,0.78,"stable"
"40",40,40,40,40,"Pyrrhosoma nymphula","Co",8.815,2.5,2,"Pyrrhosoma nymphula",2,1,2,2,40,0.24,0.48,1.03,-0.971,0,-0.014,0,-0.013,0.47,0.24,"decrease",40,0.23,0.44,-0.857,0,-0.011,0,-0.008,0.39,0.25,"decrease"
"41",41,41,41,41,"Selysiothemis nigra","Li",15.159,3.5,3,"Selysiothemis nigra",3,4,3,3,41,0.02,0.15,1.06,0.495,0.002,0.001,0.002,-0.001,0.04,0.05,"increase",41,0.03,0.06,1,0,0.001,0,0.001,0.03,0.06,"increase"
"42",42,42,42,42,"Somatochlora flavomaculata","Cd",7.769,3.6,3,"Somatochlora flavomaculata",1,1,3,3,42,0.08,0.46,1.06,-0.981,0,-0.011,0,-0.015,0.39,0.08,"decrease",42,0.09,0.41,-0.971,0,-0.008,0,-0.012,0.35,0.09,"decrease"
"43",43,43,43,43,"Somatochlora metallica","Cd",6.412,2.2,2,"Somatochlora metallica",2,1,2,2,43,0.3,0.65,1.01,-0.99,0,-0.019,0,-0.018,0.65,0.3,"decrease",43,0.19,0.7,-0.99,0,-0.029,0,-0.027,0.69,0.19,"decrease"
"44",44,44,44,44,"Stylurus flavipes","Go",9.097,1,5,"Stylurus flavipes",4,1,1,5,44,0.17,0.2,1.01,0.067,0.695,0,0.695,0,0.19,0.19,"stable",44,0.17,0.22,-0.648,0,-0.002,0,-0.002,0.22,0.17,"decrease"
"45",45,45,45,45,"Sympecma fusca","Le",10.848,3.4,2,"Sympecma fusca",2,2,3,2,45,0.19,0.6,1.01,-0.295,0.065,-0.008,0.065,-0.012,0.52,0.29,"stable",45,0.17,0.62,-0.324,0.043,-0.012,0.043,-0.015,0.56,0.28,"decrease"
"46",46,46,46,46,"Sympecma paedisca","Le",6.787,3.5,2,"Sympecma paedisca",1,1,3,2,46,0.02,0.11,1.01,0.924,0,0.004,0,0.004,0.02,0.08,"increase",46,0.02,0.11,0.952,0,0.005,0,0.005,0.02,0.09,"increase"
"47",47,47,47,47,"Sympetrum depressiusculum","Li",9.04,3,3,"Sympetrum depressiusculum",2,1,3,3,47,0.15,0.37,1.01,-0.943,0,-0.01,0,-0.01,0.37,0.15,"decrease",47,0.14,0.36,-0.914,0,-0.01,0,-0.009,0.36,0.14,"decrease"
"48",48,48,48,48,"Sympetrum fonscolombii","Li",12.59,3.2,2,"Sympetrum fonscolombii",3,3,3,2,48,0.42,0.82,1.01,0.305,0.057,0.002,0.057,0.007,0.62,0.8,"stable",48,0.35,0.82,0.676,0,0.005,0,0.01,0.56,0.81,"increase"
"49",49,49,49,49,"Sympetrum meridionale","Li",11.99,4.5,3,"Sympetrum meridionale",1,3,4,3,49,0.06,0.42,1.01,-0.867,0,-0.007,0,-0.011,0.27,0.06,"decrease",49,0.07,0.31,-0.848,0,-0.006,0,-0.008,0.23,0.07,"decrease"
"50",50,50,50,50,"Sympetrum pedemontanum","Li",8.539,2.2,2,"Sympetrum pedemontanum",2,1,2,2,50,0.38,0.75,1.02,-0.933,0,-0.009,0,-0.013,0.68,0.38,"decrease",50,0.36,0.72,-0.943,0,-0.01,0,-0.013,0.66,0.36,"decrease"
"51",51,51,51,51,"Sympetrum sanguineum","Li",9.326,3.3,2,"Sympetrum sanguineum",2,2,3,2,51,0.35,0.61,1.01,-0.914,0,-0.012,0,-0.012,0.61,0.37,"decrease",51,0.31,0.62,-0.914,0,-0.014,0,-0.014,0.6,0.32,"decrease"
"52",52,52,52,52,"Sympetrum striolatum","Li",10.817,3.3,1,"Sympetrum striolatum",2,2,3,1,52,0.46,0.71,1.02,0.857,0,0.013,0,0.011,0.5,0.7,"increase",52,0.44,0.7,0.848,0,0.014,0,0.012,0.47,0.68,"increase"
"53",53,53,53,53,"Trithemis annulata","Li",15.378,2.7,2,"Trithemis annulata",3,4,2,2,53,0,0.7,1.01,0.857,0,0.018,0,0.026,0,0.7,"increase",53,0,0.68,1,0,0.024,0,0.028,0,0.68,"increase"
